product,product_fr,product_en,entity,entity_fr,entity_en,value_rel_per_direction,order
Fils divers,Fils divers,Fils divers,France (moyenne),France (moyenne),France (mean),0.011312798147436656,57
Métaux divers et mélangés,Métaux divers et mélangés,Métaux divers et mélangés,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,1.9123619363663147e-05,58
Métaux divers et mélangés,Métaux divers et mélangés,Métaux divers et mélangés,France (moyenne),France (moyenne),France (mean),3.7664897928926794e-05,58
Pêche et fruits de mer,Pêche et fruits de mer,Pêche et fruits de mer,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,1.5898852176849363e-05,59
Pêche et fruits de mer,Pêche et fruits de mer,Pêche et fruits de mer,France (moyenne),France (moyenne),France (mean),0.004795747687357912,59
Salsepareille,Salsepareille,Salsepareille,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,1.5298895490930518e-05,60
Salsepareille,Salsepareille,Salsepareille,France (moyenne),France (moyenne),France (mean),0.00024460881121396146,60
Céruse et blanc de plomb,Céruse et blanc de plomb,Céruse et blanc de plomb,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,1.4323965876312396e-05,61
Céruse et blanc de plomb,Céruse et blanc de plomb,Céruse et blanc de plomb,France (moyenne),France (moyenne),France (mean),2.1900405268353138e-05,61
Châles et mouchoirs de soie,Châles et mouchoirs de soie,Châles et mouchoirs de soie,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,1.079922034653919e-05,62
Châles et mouchoirs de soie,Châles et mouchoirs de soie,Châles et mouchoirs de soie,France (moyenne),France (moyenne),France (mean),0.0005629006549019719,62
Vin de liqueurs,Vin de liqueurs,Vin de liqueurs,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,9.899285317660924e-06,63
Vin de liqueurs,Vin de liqueurs,Vin de liqueurs,France (moyenne),France (moyenne),France (mean),5.766061204294906e-05,63
Cacao et chocolat,Cacao et chocolat,Cacao et chocolat,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,8.999350288782657e-06,64
Cacao et chocolat,Cacao et chocolat,Cacao et chocolat,France (moyenne),France (moyenne),France (mean),0.002188520857287515,64
Acier,Acier,Acier,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,65
Acier,Acier,Acier,France (moyenne),France (moyenne),France (mean),7.854155817625094e-05,65
Animaux,Animaux,Animaux,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,66
Animaux,Animaux,Animaux,France (moyenne),France (moyenne),France (mean),0.01126575024936121,66
Chevaux et bêtes de somme,Chevaux et bêtes de somme,Chevaux et bêtes de somme,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,67
Chevaux et bêtes de somme,Chevaux et bêtes de somme,Chevaux et bêtes de somme,France (moyenne),France (moyenne),France (mean),0.0024377633403323542,67
Cendres diverses,Cendres diverses,Cendres diverses,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,68
Cendres diverses,Cendres diverses,Cendres diverses,France (moyenne),France (moyenne),France (mean),0.00022502837764199962,68
Chanvre,Chanvre,Chanvre,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,69
Chanvre,Chanvre,Chanvre,France (moyenne),France (moyenne),France (mean),0.0006486140086625064,69
Cuivre,Cuivre,Cuivre,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,70
Cuivre,Cuivre,Cuivre,France (moyenne),France (moyenne),France (mean),0.00028695273508784323,70
Mercure,Mercure,Mercure,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,71
Mercure,Mercure,Mercure,France (moyenne),France (moyenne),France (mean),4.042705427170651e-06,71
Azur et cobalt,Azur et cobalt,Azur et cobalt,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,72
Azur et cobalt,Azur et cobalt,Azur et cobalt,France (moyenne),France (moyenne),France (mean),2.397140014986031e-05,72
Fromage,Fromage,Fromage,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,73
Fromage,Fromage,Fromage,France (moyenne),France (moyenne),France (mean),0.0022784130054159164,73
Graines diverses et mélangées,Graines diverses et mélangées,Graines diverses et mélangées,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,74
Graines diverses et mélangées,Graines diverses et mélangées,Graines diverses et mélangées,France (moyenne),France (moyenne),France (mean),0.00011349583116947855,74
Horlogerie,Horlogerie,Horlogerie,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,75
Horlogerie,Horlogerie,Horlogerie,France (moyenne),France (moyenne),France (mean),0.0006092086607631149,75
Laines non transformées diverses,Laines non transformées diverses,Laines non transformées diverses,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,76
Laines non transformées diverses,Laines non transformées diverses,Laines non transformées diverses,France (moyenne),France (moyenne),France (mean),0.003670625268529882,76
Parfumerie et toilette,Parfumerie et toilette,Parfumerie et toilette,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,77
Parfumerie et toilette,Parfumerie et toilette,Parfumerie et toilette,France (moyenne),France (moyenne),France (mean),0.0016174213369750054,77
"Faucilles, faux et limes","Faucilles, faux et limes","Faucilles, faux et limes",direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,78
"Faucilles, faux et limes","Faucilles, faux et limes","Faucilles, faux et limes",France (moyenne),France (moyenne),France (mean),1.4440285282486994e-05,78
Fer,Fer,Fer,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,79
Fer,Fer,Fer,France (moyenne),France (moyenne),France (mean),0.00018249651396992305,79
Huiles diverses,Huiles diverses,Huiles diverses,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,80
Huiles diverses,Huiles diverses,Huiles diverses,France (moyenne),France (moyenne),France (mean),0.00042577074836683444,80
Drogues diverses,Drogues diverses,Drogues diverses,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,81
Drogues diverses,Drogues diverses,Drogues diverses,France (moyenne),France (moyenne),France (mean),0.0023359647957923698,81
Librairie,Librairie,Librairie,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,82
Librairie,Librairie,Librairie,France (moyenne),France (moyenne),France (mean),0.002060219167840718,82
Bijouterie et pierres fines,Bijouterie et pierres fines,Bijouterie et pierres fines,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,83
Bijouterie et pierres fines,Bijouterie et pierres fines,Bijouterie et pierres fines,France (moyenne),France (moyenne),France (mean),0.0013761929364907945,83
Drogues médicinales diverses,Drogues médicinales diverses,Drogues médicinales diverses,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,84
Drogues médicinales diverses,Drogues médicinales diverses,Drogues médicinales diverses,France (moyenne),France (moyenne),France (mean),0.00073575551397548,84
Marbre brut et ouvré,Marbre brut et ouvré,Marbre brut et ouvré,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,85
Marbre brut et ouvré,Marbre brut et ouvré,Marbre brut et ouvré,France (moyenne),France (moyenne),France (mean),0.0002104635796354607,85
Rubanerie et passementerie diverse,Rubanerie et passementerie diverse,Rubanerie et passementerie diverse,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,86
Rubanerie et passementerie diverse,Rubanerie et passementerie diverse,Rubanerie et passementerie diverse,France (moyenne),France (moyenne),France (mean),0.00010807307698077445,86
"Mousseline, basin et nankin","Mousseline, basin et nankin","Mousseline, basin et nankin",direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,87
"Mousseline, basin et nankin","Mousseline, basin et nankin","Mousseline, basin et nankin",France (moyenne),France (moyenne),France (mean),0.007134539730114231,87
Bonneterie de soie,Bonneterie de soie,Bonneterie de soie,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,88
Bonneterie de soie,Bonneterie de soie,Bonneterie de soie,France (moyenne),France (moyenne),France (mean),0.001993189609654954,88
Dentelles,Dentelles,Dentelles,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,89
Dentelles,Dentelles,Dentelles,France (moyenne),France (moyenne),France (mean),0.007735250095094952,89
Gants,Gants,Gants,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,90
Gants,Gants,Gants,France (moyenne),France (moyenne),France (mean),0.00033694238347438697,90
Cordonnerie et sellerie,Cordonnerie et sellerie,Shoemaking and upholstery,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,91
Cordonnerie et sellerie,Cordonnerie et sellerie,Shoemaking and upholstery,France (moyenne),France (moyenne),France (mean),0.0031862466737085492,91
Plumes brutes,Plumes brutes,Plumes brutes,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,92
Plumes brutes,Plumes brutes,Plumes brutes,France (moyenne),France (moyenne),France (mean),0.00027140220585047535,92
"Gravelée, potasse et védasse","Gravelée, potasse et védasse","Gravelée, potasse et védasse",direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,93
"Gravelée, potasse et védasse","Gravelée, potasse et védasse","Gravelée, potasse et védasse",France (moyenne),France (moyenne),France (mean),0.00017890706838755702,93
Cire,Cire,Cire,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,94
