destination_radar,homeport_destination_radar,tonnage,departure_fr,destination_fr,ship_id,ship_name,departure_action,destination_action,departure_out_date,destination_in_date,source_doc_id
France,Ports francs et petites îles,12,Noirmoutier,Courreaux de Groix,0007136N,Jeanne Cécile,Out,In,1789=12=05,1789>12>05,00341524
Local,Local,32,La Rochelle,Dercie,0007382N,Marie Charlotte,Out,In,1789=09=29,1789>09>29,00341522
Local,Local,32,La Rochelle,Dercie,0007382N,Marie Charlotte,Out,In,1789=11=14,1789>11>14,00341523
Local,Local,32,La Rochelle,Dercie,0007382N,Marie Charlotte,Out,In,1789=07=29,1789>07>29,00341519
Local,Europe,20,La Flotte-en-Ré,mer des Pertuis,0007461N,Saint Helaine,In-Out,In,1789=07=09,1789>07>09,00332649
Local,Local,3,île d'Oléron,île d'Oléron,0007464N,Suzanne,Out,In,1789<02<06,1789>02>06,00332721
Local,Local,3,île d'Oléron,île d'Oléron,0007464N,Suzanne,Out,In,1789<02<14,1789>02>14,00332736
Local,Local,3,île d'Oléron,île d'Oléron,0007464N,Suzanne,Out,In,1789<03<15,1789>03>15,00336798
Local,Local,15,Saint-Martin-de-Ré,Saint-Denis d'Oléron,0007469N,Deux Soeurs,Out,In,1789=01=16,1789>01>16,00333598
France,France,50,Tonnay-Charente,Nantes,0007477N,Marie Therese,Out,In,1789=06=18,1789>06>18,00340897
Local,Local,32,Saint-Martin-de-Ré,Tonnay-Charente,0007493N,Marie Elizabethe,Out,In,1789=06=19,1789>06>19,00336498
Local,Local,15,Saint-Denis d'Oléron,Marans,0007592N,Deux freres,Out,In,1789=06=17,1789>06>17,00336244
Local,Local,20,Tonnay-Charente,île de Ré,0007648N,Patiance,Out,In,1789=10=19,1789>10>19,00340715
Local,Local,20,Tonnay-Charente,Tonnay-Charente,0007648N,Patiance,Out,In,1789<10<01,1789>10>01,00332676
Local,Local,20,La Flotte-en-Ré,Tonnay-Charente,0007648N,Patiance,In-Out,In,1789=10=01,1789>10>01,00332676
Local,Local,20,Saint-Martin-de-Ré,Tonnay-Charente,0007648N,Patience,Out,In,1789=04=23,1789>04>23,00336488
Local,Local,20,Saint-Martin-de-Ré,Tonnay-Charente,0007648N,Patience,Out,In,1789=08=13,1789>08>13,00336504
Local,Local,20,Saint-Martin-de-Ré,Tonnay-Charente,0007648N,Patience,Out,In,1789=10=24,1789>10>24,00336513
Local,Local,20,Saint-Martin-de-Ré,Tonnay-Charente,0007648N,Patience,Out,In,1789=12=05,1789>12>05,00336517
Local,Local,20,Tonnay-Charente,île de Ré,0007648N,Patiance,Out,In,1789=11=17,1789>11>17,00340721
Local,Local,20,Saint-Martin-de-Ré,Tonnay-Charente,0007648N,Patience,Out,In,1789=07=11,1789>07>11,00337144
Local,Local,39,Saint-Martin-de-Ré,Tonnay-Charente,0007648N,Patience,Out,In,1789=02=23,1789>02>23,00339773
Local,Local,20,Rochefort,Tonnay-Charente,0007648N,Patience,Out,In,1789=03=10,1789>03>10,00340257
Local,Local,20,Tonnay-Charente,île de Ré,0007648N,Patience,Out,In,1789=02=11,1789>02>11,00340643
Local,Local,20,Tonnay-Charente,île de Ré,0007648N,Patiance,Out,In,1789=03=27,1789>03>27,00340658
Local,Local,20,Tonnay-Charente,île de Ré,0007648N,Patiance,Out,In,1789=05=08,1789>05>08,00340672
Local,Local,20,Tonnay-Charente,île de Ré,0007648N,Patiance,Out,In,1789=08=04,1789>08>04,00340691
Local,Local,20,Tonnay-Charente,île de Ré,0007648N,Patiance,Out,In,1789=09=24,1789>09>24,00340706
Local,Local,15,La Tranche-sur-Mer,Saint-Martin-de-Ré,0007705N,Saint Pierre,Out,In,1789=12=03,1789>12>03,00336780
Local,Local,37,Tonnay-Charente,La Rochelle,0007723N,Sainte Ustelle,Out,In,1789=01=21,1789>01>21,00341176
Local,Local,39,Tonnay-Charente,La Rochelle,0007723N,Saint Ustélle,Out,In,1789=02=14,1789>02>14,00341197
Local,Local,37,Tonnay-Charente,La Rochelle,0007723N,Sainte Ustelle,Out,In,1789=03=16,1789>03>16,00341214
Local,Local,39,La Rochelle,Tonnay-Charente,0007723N,Sainte Ustelle,Out,In,1789=01=29,1789>01>29,00341659
Local,Local,39,La Rochelle,Tonnay-Charente,0007723N,Sainte Urstele,Out,In,1789=02=28,1789>02>28,00341674
Local,Local,39,La Rochelle,Tonnay-Charente,0007723N,Sainte Ustelle,Out,In,1789=03=26,1789>03>26,00341696
Local,Local,30,Tonnay-Charente,La Rochelle,0007736N,Dauphin,Out,In,1789=05=18,1789>05>18,00341255
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=02=10,1789>02>10,00338448
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=03=11,1789>03>11,00338467
Local,Local,32,Tonnay-Charente,La Rochelle,0007760N,Marianne,Out,In,1789=01=21,1789>01>21,00341177
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=04=01,1789>04>01,00338482
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=04=02,1789>04>02,00338483
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Mariannes,Out,In,1789=04=11,1789>04>11,00338497
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=05=30,1789>05>30,00338529
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=06=12,1789>06>12,00338544
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=07=10,1789>07>10,00338573
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=07=28,1789>07>28,00338590
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=08=13,1789>08>13,00338600
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=08=24,1789>08>24,00338610
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=09=11,1789>09>11,00338622
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marie Anne,Out,In,1789=10=06,1789>10>06,00338652
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=10=21,1789>10>21,00338665
Europe,France,27,Saint-Michel-en-l'Herm,pas mentionné,0007762N,Marie Justine,Out,In,1789=07=27,1789>07>27,00342138
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=10=31,1789>10>31,00338680
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=11=05,1789>11>05,00338683
Local,Local,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=12=07,1789>12>07,00338713
Local,Local,32,Tonnay-Charente,Seudre,0007760N,Marianne,Out,In,1789=05=18,1789>05>18,00340348
Local,Local,40,Marans,Tonnay-Charente,0007775N,Marie Anne,Out,In,1789=11=11,1789>11>11,00334958
Local,Local,40,La Rochelle,Tonnay-Charente,0007775N,Marie Anne,Out,In,1789=02=20,1789>02>20,00341671
Local,Local,40,La Rochelle,Tonnay-Charente,0007775N,Marie Anne,Out,In,1789=03=20,1789>03>20,00341691
Local,Local,40,La Rochelle,Tonnay-Charente,0007775N,Marie Anne,Out,In,1789=05=06,1789>05>06,00341723
Local,Local,40,La Rochelle,Tonnay-Charente,0007775N,Marie Anne,Out,In,1789=06=15,1789>06>15,00341741
Local,Local,40,La Rochelle,Tonnay-Charente,0007775N,Marie Anne,Out,In,1789=09=14,1789>09>14,00341797
Local,Local,40,La Rochelle,Tonnay-Charente,0007775N,Marie Anne,Out,In,1789=09=28,1789>09>28,00341804
Local,Local,40,La Rochelle,Tonnay-Charente,0007775N,Marie Anne,Out,In,1789=12=23,1789>12>23,00341856
Local,Local,36,La Rochelle,Tonnay-Charente,0007776N,Petite Marie,Out,In,1789=03=12,1789>03>12,00341685
Local,France,46,La Flotte-en-Ré,mer des Pertuis,0007987N,Sauterelle,In-Out,In,1789=07=24,1789>07>24,00332667
Local,Local,36,Tonnay-Charente,Tonnay-Charente,0008088N,Saint André,Out,In,1789<10<19,1789>10>19,00332677
Local,Local,36,La Flotte-en-Ré,Tonnay-Charente,0008088N,Saint André,In-Out,In,1789=10=19,1789>10>19,00332677
France,France,4,Les Sables-d'Olonne,Locmariaquer,0008447N,Sainte Anne,Out,In,1789=01=03,1789>01>03,00339455
Local,Local,53,Tonnay-Charente,La Rochelle,0008487N,Deux frères,Out,In,1789=01=21,1789>01>21,00341174
Local,Local,53,La Rochelle,Tonnay-Charente,0008487N,Deux Freres,Out,In,1789=02=05,1789>02>05,00341666
Local,Local,80,Seudre,Saint-Martin-de-Ré,0008509N,Aimable Véronique,Out,In,1789<02<21,1789>02>21,00340383
Local,France,18,Tonnay-Charente,Tonnay-Charente,0008579N,Jeanne,Out,In,1789<07<08,1789>07>08,00337175
Local,France,18,La Flotte-en-Ré,Tonnay-Charente,0008579N,Jeanne,In-Out,In,1789=09=27,1789>09>27,00332675
Local,France,18,Tonnay-Charente,île de Ré,0008579N,Jeane,Out,In,1789=09=10,1789>09>10,00340702
Local,France,18,Tonnay-Charente,île d'Oléron,0008579N,Jeanne,Out,In,1789=03=20,1789>03>20,00340765
Local,France,18,Tonnay-Charente,La Rochelle,0008579N,Jeanne,Out,In,1789=11=10,1789>11>10,00341380
Local,France,18,La Flotte-en-Ré,Tonnay-Charente,0008579N,Jeanne,In-Out,In,1789=07=08,1789>07>08,00337175
Local,Europe,20,Ribérou,La Perrotine,0008663N,Saint Pierre,Out,In,1789=05=27,1789>05>27,00336140
Local,Local,50,La Rochelle,Bourcefranc ,0009418N,Don de Dieu,Out,In,1789=10=02,1789>10>02,00341972
France,Local,29,Saint-Gilles-sur-Vie,Nantes,0009427N,Basque,Out,In,1789=04=11,1789>04>11,00333840
France,Local,29,Saint-Gilles-sur-Vie,Nantes,0009427N,Basque,Out,In,1789=09=03,1789>09>03,00333842
France,France,10,Marennes,Côtes de Bretagne,0009541N,Marie,Out,In,1789=09=18,1789>09>18,00338797
Local,Local,10,La Perrotine,Ker Châlon,0009618N,Societé,Out,In,1789=08=06,1789>08>06,00333518
