flow_type,customs_office,product,partner,value
export,La Rochelle,autres produits,Ports francs et petites îles,220
export,La Rochelle,autres produits,Ports francs et petites îles,54732
export,La Rochelle,autres produits,Ports francs et petites îles,265
export,La Rochelle,autres produits,Ports francs et petites îles,870
export,La Rochelle,autres produits,Ports francs et petites îles,424
export,La Rochelle,autres produits,Ports francs et petites îles,237.5
export,La Rochelle,autres produits,Ports francs et petites îles,5055
export,La Rochelle,autres produits,Ports francs et petites îles,393
export,La Rochelle,autres produits,Ports francs et petites îles,200
export,La Rochelle,autres produits,Ports francs et petites îles,350
export,La Rochelle,autres produits,Ports francs et petites îles,406
export,La Rochelle,autres produits,Ports francs et petites îles,525
export,La Rochelle,autres produits,Ports francs et petites îles,961.5
export,La Rochelle,autres produits,Ports francs et petites îles,600
export,La Rochelle,autres produits,Ports francs et petites îles,3900
export,La Rochelle,autres produits,Ports francs et petites îles,150
export,La Rochelle,autres produits,Ports francs et petites îles,911
export,La Rochelle,autres produits,Ports francs et petites îles,108
export,La Rochelle,autres produits,Ports francs et petites îles,180
export,La Rochelle,autres produits,Ports francs et petites îles,525
export,La Rochelle,autres produits,Ports francs et petites îles,1380
export,La Rochelle,autres produits,Ports francs et petites îles,514.79999
export,La Rochelle,autres produits,Ports francs et petites îles,810
export,La Rochelle,autres produits,Ports francs et petites îles,2755.5
export,La Rochelle,autres produits,Ports francs et petites îles,2103.75
export,La Rochelle,autres produits,Ports francs et petites îles,234
export,La Rochelle,autres produits,Ports francs et petites îles,1676.5
export,La Rochelle,autres produits,Ports francs et petites îles,130
export,La Rochelle,autres produits,Ports francs et petites îles,1312
export,La Rochelle,autres produits,Ports francs et petites îles,3421.5
export,La Rochelle,autres produits,Ports francs et petites îles,524
export,La Rochelle,autres produits,Ports francs et petites îles,405
export,La Rochelle,autres produits,Ports francs et petites îles,247.5
export,La Rochelle,autres produits,Ports francs et petites îles,1722
export,La Rochelle,autres produits,Ports francs et petites îles,1044
export,La Rochelle,autres produits,Ports francs et petites îles,1144
export,La Rochelle,autres produits,Ports francs et petites îles,2586
export,La Rochelle,autres produits,Ports francs et petites îles,432
export,La Rochelle,autres produits,Ports francs et petites îles,1980
export,La Rochelle,autres produits,Ports francs et petites îles,360
export,La Rochelle,autres produits,Ports francs et petites îles,400
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,6371.25
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,175
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,490
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,300
